Date,2022-08-10
Time,12-14-00

OtherInfo,,,Pulse On Duration (us),4102
DriveVoltage (V),3.7,,Pulse Off Duration (us),8000
HeaterResistance (Ohm),0.58,,Pulse Period (us),12102
PuffTrigger (Pa),0,,Fixed Power Mode
Power (W),8
Tester Name,Enter Your Name
Channel,A,

Pulse Count,Puff Count,Pulse Start (ms),Pulse End (ms),Resistance Start (Ω),Resistance End (Ω),Power Start (W),Power End (W),dR/dt (Ω/s),Energy in pulse (J),Pressure differential (Pa),Temperature (C)

0,1,0,4.12,0.56397,0.58538,7.832,7.86855,5.18678,0.32343,33,30
1,1,24.31,28.6,0.57883,0.59845,8.09869,7.91697,4.56813,0.34353,33,49
2,1,36.6,40.98,0.58348,0.60455,8.1284,7.93387,4.81422,0.35176,33,58
3,1,48.96,53.42,0.58841,0.6082,8.14952,7.97029,4.44587,0.35947,33,63
4,1,61.39,65.84,0.59211,0.61125,8.13514,7.97184,4.29828,0.35838,33,67
5,1,73.83,78.32,0.59551,0.6148,8.12792,7.95662,4.2953,0.36109,17514,72
6,1,86.3,90.83,0.59843,0.61755,8.14742,7.97158,4.22321,0.36509,17514,76
7,1,98.81,103.38,0.60214,0.62019,8.13637,7.97267,3.95094,0.36809,17514,80
8,1,111.34,115.91,0.60439,0.62222,8.14431,7.98132,3.89999,0.36847,17514,83
9,1,123.9,128.51,0.6071,0.62523,8.13018,7.96263,3.93183,0.37093,17514,88
10,1,136.48,141.09,0.60958,0.62648,8.14549,7.99352,3.66811,0.372,17514,89
11,1,149.09,153.74,0.61199,0.62875,8.12619,7.98108,3.60585,0.37449,17514,93
12,1,161.7,166.35,0.61464,0.63129,8.12017,7.98196,3.58387,0.37437,17514,96
13,1,174.34,178.99,0.61637,0.63377,8.11943,7.96386,3.74385,0.37393,17514,100
14,1,186.99,191.67,0.61869,0.63535,8.1336,7.98433,3.5531,0.37715,17514,102
15,1,199.67,204.39,0.62102,0.63642,8.12715,7.99028,3.25974,0.38037,17514,104
16,1,212.36,217.09,0.62363,0.63893,8.10738,7.97349,3.23889,0.38031,17514,107
17,1,225.07,229.83,0.62458,0.64087,8.13189,7.98244,3.41976,0.38352,17514,110
18,1,237.8,242.56,0.62623,0.64282,8.13679,7.97971,3.4829,0.38357,17514,113
19,1,250.55,255.31,0.62877,0.64402,8.12778,7.98517,3.20056,0.38348,17514,115
20,1,263.31,268.11,0.6301,0.64626,8.1324,7.98031,3.3648,0.3867,17514,118
21,1,276.09,280.89,0.63238,0.64761,8.1228,7.99081,3.17353,0.38672,17514,120
